Date,Time,Accel X,Accel Y,Accel Z,Gyro X,Gyro Y,Gyro Z
4/7/2020,12:02:26.843684,-0.66, 0.32, 9.85,4.32, -1.32, 2.48
4/7/2020,12:02:31.922485,-0.67, 0.31, 9.86,4.35, -1.47, 2.48
4/7/2020,12:02:36.994471,-0.66, 0.32, 9.86,4.49, -1.39, 2.52
4/7/2020,12:02:42.074052,-0.65, 0.32, 9.85,4.34, -1.43, 2.43
4/7/2020,12:02:47.146526,-0.66, 0.30, 9.86,4.39, -1.32, 2.38
4/7/2020,12:02:52.226939,-0.66, 0.31, 9.86,4.30, -1.39, 2.54
4/7/2020,12:02:57.300001,-0.65, 0.33, 9.84,4.22, -1.25, 2.58
4/7/2020,12:03:02.380722,-0.65, 0.31, 9.85,4.53, -1.42, 2.48
4/7/2020,12:03:07.452606,-0.67, 0.31, 9.88,4.34, -1.42, 2.56
4/7/2020,12:03:12.536045,-0.67, 0.31, 9.88,4.31, -1.29, 2.60
4/7/2020,12:03:17.609763,-0.65, 0.31, 9.86,4.37, -1.16, 2.65
4/7/2020,12:03:22.690882,-0.64, 0.31, 9.85,4.35, -1.13, 2.53
4/7/2020,12:03:27.765979,-0.66, 0.32, 9.85,4.45, -1.46, 2.35
4/7/2020,12:03:32.842808,-0.65, 0.32, 9.86,4.36, -1.24, 2.62
4/7/2020,12:03:37.914664,-0.65, 0.31, 9.85,4.30, -1.26, 2.53
4/7/2020,12:03:42.994190,-0.66, 0.31, 9.84,4.35, -1.20, 2.56
4/7/2020,12:03:48.065955,-0.67, 0.32, 9.85,4.39, -1.41, 2.50
4/7/2020,12:03:53.145795,-0.66, 0.31, 9.85,4.27, -1.13, 2.67
4/7/2020,12:03:58.218836,-0.66, 0.30, 9.85,4.35, -1.27, 2.50
4/7/2020,12:04:03.299624,-0.67, 0.31, 9.86,4.33, -1.25, 2.56
4/7/2020,12:04:08.373099,-0.66, 0.31, 9.85,4.25, -1.33, 2.62
4/7/2020,12:04:13.447610,-0.66, 0.31, 9.87,4.27, -1.30, 2.53
